已修复清单
级别	问题	改动
P0	敏感凭据明文	jian.md 加入 .gitignore；docker-compose.yml 改用 ${} 环境变量；新增 .env.example 模板
P0	生产数据库密码默认 root	application-prod.yml 移除默认值，启动必须注入
P0	JWT Secret 无校验	新增 SecurityStartupValidator.java，prod 环境使用默认 secret 直接拒绝启动
P0	安全配置类重复	WebSecurityConfig.java 合并进 SecurityConfig.java，删除前者
P0	CORS * 通配	prod 环境通过 cors.allowed-origins 配置白名单，dev 只允许 localhost
P1	Nginx proxy 端口 8080 vs 实际 7000	nginx.conf 改为 proxy_pass http://backend:7000，docker-compose 内部端口改为 7000
P1	Dockerfile Node 14	改为 node:20-alpine，匹配 Vue 3.5 + Vite 8 要求
P1	Map<String, Object> 接收参数	新增 CreateItemRequest.java DTO，含 @NotBlank/@NotNull 校验；ItemService 和 ItemController 同步重构
P1	缓存层两个类重叠	删除无人引用的 CacheService.java，只保留用 SCAN 的 CacheManager
P1	Token cookie + localStorage 双写	store 不再往 localStorage 存 token，统一由 cookie 管理；启动时从 cookie 恢复
